ProductDates,Length,IntangibleDryWell,IntangibleCompletion,TangibleDryWell,TangibleCompletion,TotalIntangible,TotalTangible,TotalCost
20-Nov-2015,7000.00,2549000.00,4811000.00,601000.00,300000.00,7360000.00,901000.00,8261000.00
30-Nov-2015,5000.00,1951450.00,2061800.00,290525.00,414900.00,4013250.00,705425.00,4718675.00
1-Dec-2015,4400.00,1894315.00,2946110.00,199966.00,679157.00,4840425.00,879123.00,5719548.00
7-Dec-2015,6400.00,2814904.00,3845800.00,674888.00,796550.00,6660704.00,1471438.00,8132142.00
8-Dec-2015,9833.00,3718000.00,5957000.00,424000.00,820000.00,9675000.00,1244000.00,10919000.00
9-Dec-2015,7000.00,2431490.49,4434963.77,588111.29,232129.99,6866454.26,820241.28,7686695.54
15-Dec-2015,9730.00,3862000.00,5587500.00,456000.00,973200.00,9449500.00,1429200.00,10878700.00
15-Dec-2015,4400.00,2716566.51,5904639.31,630613.21,219939.33,8621205.82,850552.54,9471758.36
19-Dec-2015,7400.00,1017811.00,1574235.00,166851.00,296900.00,2592046.00,463751.00,3055797.00
19-Dec-2015,9800.00,3217500.00,4801622.26,854500.00,767134.88,8019122.26,1621634.88,9640757.14
22-Dec-2015,7000.00,2549000.00,4811000.00,601000.00,300000.00,7360000.00,901000.00,8261000.00
22-Dec-2015,7800.00,1309258.00,1990576.00,185474.00,284484.00,3299834.00,469958.00,3769792.00
31-Dec-2015,9730.00,3399000.00,5307900.00,384000.00,1035800.00,8706900.00,1419800.00,10126700.00
11-Jan-2016,5100.00,1532091.00,592300.00,443415.00,779000.00,2124391.00,1222415.00,3346806.00
13-Jan-2016,7200.00,2276000.00,3872000.00,614000.00,300000.00,6148000.00,914000.00,7062000.00
13-Jan-2016,7100.00,2276000.00,3862000.00,614000.00,300000.00,6138000.00,914000.00,7052000.00
1-Feb-2016,5800.00,1532091.00,590000.00,443415.00,779000.00,2122091.00,1222415.00,3344506.00
4-Feb-2016,4800.00,1309258.00,1990276.00,185474.00,284484.00,3299534.00,469958.00,3769492.00
8-Feb-2016,7000.00,1886833.40,4811000.00,540201.46,300000.00,6697833.40,840201.46,7538034.86
16-May-2016,9971.00,6022000.00,6061000.00,455000.00,901000.00,12083000.00,1356000.00,13439000.00
19-Jun-2016,10200.00,4074000.00,5415300.00,351000.00,828500.00,9489300.00,1179500.00,10668800.00
8-Jul-2016,9600.00,2426500.00,4803272.00,931500.00,775421.75,7229772.00,1706921.75,8936693.75
26-Jul-2016,8200.00,1217366.00,1705500.00,292634.00,196000.00,2922866.00,488634.00,3411500.00
5-Aug-2016,10000.00,3217500.00,4713612.00,854500.00,336695.00,7931112.00,1191195.00,9122307.00
8-Aug-2016,8900.00,1683500.00,2553000.00,416500.00,200500.00,4236500.00,617000.00,4853500.00
8-Aug-2016,10400.00,1665250.00,3114500.00,452500.00,626000.00,4779750.00,1078500.00,5858250.00
9-Aug-2016,6800.00,1956000.00,4784123.00,460000.00,784635.00,6740123.00,1244635.00,7984758.00
10-Aug-2016,7300.00,1184138.00,456340.00,287400.00,724440.00,1640478.00,1011840.00,2652318.00
12-Aug-2016,9730.00,3862000.00,5587500.00,456000.00,973200.00,9449500.00,1429200.00,10878700.00
15-Aug-2016,9730.00,3862000.00,5587500.00,456000.00,973200.00,9449500.00,1429200.00,10878700.00
15-Aug-2016,9800.00,3752928.00,2434049.00,704200.00,314730.00,6186977.00,1018930.00,7205907.00
15-Aug-2016,9730.00,3862000.00,5587500.00,456000.00,973200.00,9449500.00,1429200.00,10878700.00
16-Aug-2016,10800.00,2845280.00,5236719.00,560386.00,107690.00,8081999.00,668076.00,8750075.00
16-Aug-2016,8900.00,3881171.00,4521724.00,628200.00,982220.00,8402895.00,1610420.00,10013315.00
16-Aug-2016,8900.00,4149000.00,4866960.00,365000.00,792000.00,9015960.00,1157000.00,10172960.00
22-Aug-2016,10200.00,3881171.00,4521724.00,628200.00,354020.00,8402895.00,982220.00,9385115.00
22-Aug-2016,7200.00,1275200.00,1872700.00,246100.00,236700.00,3147900.00,482800.00,3630700.00
22-Aug-2016,7000.00,1263760.00,530740.00,287800.00,749940.00,1794500.00,1037740.00,2832240.00
24-Aug-2016,8900.00,1182687.47,752300.00,289400.00,720940.00,1934987.47,1010340.00,2945327.47
29-Aug-2016,10400.00,3761405.00,3540378.00,523963.00,107690.00,7301783.00,631653.00,7933436.00
30-Aug-2016,7600.00,2879095.00,3710409.00,587769.00,117140.00,6589504.00,704909.00,7294413.00
5-Sep-2016,5800.00,2175419.00,3861417.00,498128.00,211690.00,6036836.00,709818.00,6746654.00
6-Sep-2016,10000.00,3217500.00,4801622.00,854500.00,767134.00,8019122.00,1621634.00,9640756.00
7-Sep-2016,5700.00,1176245.00,1513055.00,222000.00,470650.00,2689300.00,692650.00,3381950.00
7-Sep-2016,7600.00,1483330.00,1519200.00,207600.00,498174.00,3002530.00,705774.00,3708304.00
12-Sep-2016,10560.00,3857171.00,4504189.00,609200.00,341200.00,8361360.00,950400.00,9311760.00
13-Sep-2016,9600.00,2475500.00,4191415.00,862500.00,846974.00,6666915.00,1709474.00,8376389.00
13-Sep-2016,8700.00,2426500.00,4801622.26,931500.00,767134.88,7228122.26,1698634.88,8926757.14
3-Oct-2016,6400.00,1570078.00,3121200.00,317482.00,103914.00,4691278.00,421396.00,5112674.00
4-Oct-2016,6400.00,1425000.00,1613000.00,194700.00,194500.00,3038000.00,389200.00,3427200.00
10-Oct-2016,8700.00,2600000.00,3048761.00,900000.00,706754.88,5648761.00,1606754.88,7255515.88
11-Oct-2016,5600.00,1376422.00,2321450.00,141953.00,262378.00,3697872.00,404331.00,4102203.00
11-Oct-2016,5600.00,1373835.00,2317450.00,145035.00,265878.00,3691285.00,410913.00,4102198.00
17-Oct-2016,9710.00,2690000.00,5044000.00,357000.00,857000.00,7734000.00,1214000.00,8948000.00
18-Oct-2016,8700.00,3217500.00,4801622.26,854500.00,767134.88,8019122.26,1621634.88,9640757.14
18-Oct-2016,7200.00,1017811.00,1574235.00,186851.00,296900.00,2592046.00,483751.00,3075797.00
24-Oct-2016,4800.00,1017918.00,1574235.00,186851.00,296900.00,2592153.00,483751.00,3075904.00
25-Oct-2016,8700.00,2426500.00,4801622.26,931500.00,767134.88,7228122.26,1698634.88,8926757.14
25-Oct-2016,5600.00,1373835.00,2317450.00,145035.00,265878.00,3691285.00,410913.00,4102198.00
25-Oct-2016,10230.00,4208861.00,5860690.00,628226.00,105000.00,10069551.00,733226.00,10802777.00
25-Oct-2016,6970.00,1760000.00,3826677.00,45000.00,846217.00,5586677.00,891217.00,6477894.00
28-Oct-2016,8700.00,3217500.00,4801622.00,854500.00,767134.88,8019122.00,1621634.88,9640756.88
28-Oct-2016,7400.00,3217500.00,4801622.00,854500.00,767135.00,8019122.00,1621635.00,9640757.00
1-Nov-2016,6970.00,1760000.00,3826677.00,45000.00,830006.00,5586677.00,875006.00,6461683.00
4-Nov-2016,6900.00,1256245.00,1513055.00,222000.00,470650.00,2769300.00,692650.00,3461950.00
4-Nov-2016,8200.00,1256245.00,1513055.00,222000.00,470650.00,2769300.00,692650.00,3461950.00
7-Nov-2016,9700.00,3217500.00,4801622.26,854500.00,767134.88,8019122.26,1621634.88,9640757.14
7-Nov-2016,8700.00,3753378.00,4895332.00,656287.00,117140.00,8648710.00,773427.00,9422137.00
7-Nov-2016,7800.00,2036083.00,5417000.00,444000.00,423500.00,7453083.00,867500.00,8320583.00
7-Nov-2016,9200.00,2154087.00,3295000.00,290390.00,123000.00,5449087.00,413390.00,5862477.00
7-Nov-2016,7400.00,3217500.00,4801022.00,854500.00,767134.00,8018522.00,1621634.00,9640156.00
8-Nov-2016,7400.00,2630650.00,5811760.00,640115.00,106500.00,8442410.00,746615.00,9189025.00
8-Nov-2016,4750.00,2580000.00,2725000.00,615000.00,405000.00,5305000.00,1020000.00,6325000.00
8-Nov-2016,7200.00,2600000.00,3048761.00,900000.00,706754.00,5648761.00,1606754.00,7255515.00
8-Nov-2016,12000.00,3036907.00,2434049.00,544200.00,342396.00,5470956.00,886596.00,6357552.00
8-Nov-2016,7800.00,1688500.00,3048761.00,364500.00,706754.00,4737261.00,1071254.00,5808515.00
9-Nov-2016,7400.00,2036083.00,5418000.00,444000.00,424000.00,7454083.00,868000.00,8322083.00
14-Nov-2016,7400.00,1592243.00,5417000.00,607900.00,424000.00,7009243.00,1031900.00,8041143.00
15-Nov-2016,8700.00,2544510.00,3201408.00,616796.00,123000.00,5745918.00,739796.00,6485714.00
21-Nov-2016,9670.00,3560000.00,5247679.00,357000.00,827598.00,8807679.00,1184598.00,9992277.00
21-Nov-2016,9800.00,3218000.00,4950000.00,712000.00,400000.00,8168000.00,1112000.00,9280000.00
22-Nov-2016,7200.00,2423847.00,2939450.00,316140.00,93000.00,5363297.00,409140.00,5772437.00
